product_id,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,total_quantity_sold,total_revenue,estimated_profit,average_selling_price,discount_rate,mean_monthly_demand,std_monthly_demand,demand_cv,active_months,sales_frequency_score,abc_class,xyz_class,priority_score,priority_level,kmeans_cluster,cluster_priority_rank,recommended_action
34186,Mangoes,Fruits & Vegetables,Mandal-Kar,925.65,1234.2,25.0,3,61,56464.649999999994,14116.162499999999,925.65,0.25000000000000006,2.9047619047619047,2.998412278269316,1.032240292518945,16,0.7619047619047619,A,X,0.9069303390123746,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
880510,Bread,Dairy & Breakfast,Roy-Char,951.43,1189.29,20.0,7,58,55182.939999999995,11036.587999999998,951.43,0.2000016816756216,2.761904761904762,2.9138421697950956,1.0550118200982244,16,0.7619047619047619,A,X,0.8758098625175523,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
349294,Onions,Fruits & Vegetables,Ganesan Ltd,934.75,1246.33,25.0,3,48,44868.0,11217.0,934.75,0.249997994110709,2.2857142857142856,2.0770858707058104,0.9087250684337921,15,0.7142857142857143,A,X,0.8677237790010036,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
51036,Baby Food,Baby Care,Karnik PLC,931.61,1330.87,30.0,365,70,65212.7,19563.81,931.61,0.29999924861181027,3.3333333333333335,3.151719107619417,0.945515732285825,17,0.8095238095238095,A,X,0.8614266963754863,Critical,0,3,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
478531,Carrots,Fruits & Vegetables,Uppal Group,825.46,1100.61,25.0,3,53,43749.380000000005,10937.345,825.4599999999999,0.24999772853235921,2.5238095238095237,2.7680145884559137,1.0967604973127205,13,0.6190476190476191,A,Y,0.8608368093243131,Critical,2,1,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
883013,Eggs,Dairy & Breakfast,Chahal Group,989.88,1237.35,20.0,7,46,45534.479999999996,9106.895999999999,989.88,0.19999999999999996,2.1904761904761907,1.9395630337539334,0.8854526893224477,15,0.7142857142857143,A,X,0.8448811904803188,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
305754,Frozen Vegetables,Instant & Frozen Food,Mammen-Hegde,979.99,1633.32,40.0,180,43,42139.57,16855.828,979.9899999999999,0.4000012244997918,2.0476190476190474,2.178903175365773,1.064115504248401,13,0.6190476190476191,A,X,0.8422575642809238,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
89084,Milk,Dairy & Breakfast,"Wali, Virk and Iyer",598.83,748.54,20.0,7,56,33534.48,6706.896000000001,598.83,0.20000267186790277,2.6666666666666665,2.2876479915697985,0.8578679968386744,17,0.8095238095238095,A,X,0.8340791032584514,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
39154,Mangoes,Fruits & Vegetables,"Suresh, Bose and Bajwa",946.86,1262.48,25.0,3,40,37874.4,9468.6,946.86,0.25,1.9047619047619047,1.9210612146613628,1.0085571376972156,13,0.6190476190476191,A,X,0.8240082399487695,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
516376,Onions,Fruits & Vegetables,Agarwal-Dhar,877.43,1169.91,25.0,3,42,36852.06,9213.015,877.43,0.250002136916515,2.0,2.0976176963403033,1.0488088481701516,12,0.5714285714285714,A,X,0.822934386133814,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
925482,Frozen Biryani,Instant & Frozen Food,Viswanathan-Sha,475.04,791.73,40.0,180,50,23752.0,9500.8,475.04,0.39999747388629964,2.380952380952381,1.7168631417847633,0.7210825195496006,17,0.8095238095238095,A,X,0.8220518691919838,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
